station_id,station_name,lon,lat,sample_date,parameter,fraction,value,unit
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-01,"Nitrogen,total N",Total,3.5,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-01,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.35,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-01,Suspenderede stoffer,Total,9.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-01,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.023,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-01,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,2.4,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-01,"Phosphor, total-P",Total,0.094,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-12,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,3.6,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-12,"Glødetab,susp.stof",Total,23.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-12,"Phosphor, total-P",Total,0.87,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-12,Suspenderede stoffer,Total,130.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-12,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.48,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-12,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,3.3,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-12,"Nitrogen,total N",Total,8.5,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-22,"Nitrogen,total N",Total,6.7,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-22,"Glødetab,susp.stof",Total,12.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-22,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,2.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-22,Suspenderede stoffer,Total,37.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-22,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.074,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-22,"Phosphor, total-P",Total,0.4,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-22,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,2.6,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-04-25,"Phosphor, total-P",Total,0.15,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-04-25,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.036,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-04-25,"Nitrogen,total N",Total,2.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-04-25,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,1.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-04-25,"Glødetab,susp.stof",Total,3.5,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-04-25,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.24,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-04-25,Suspenderede stoffer,Total,12.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-05-23,Suspenderede stoffer,Total,10.0,mg/l
